,validated,accepted,committed, ,avg_accep,avg_comm
721,11,23,85,,,
722,10,23,130,,,
723,11,23,84,,,
724,9,21,89,,,
725,11,23,98,,,
726,11,23,116,,,
727,9,21,110,,,
728,11,23,84,,,
729,11,23,86,,,
730,10,22,111,,,
731,10,22,113,,,
732,11,23,83,,,
733,11,23,105,,,
734,9,20,80,,,
735,11,24,86,,,
736,10,22,116,,,
737,11,23,84,,,
738,10,23,85,,,
739,10,22,106,,,
740,11,1302,1410,,,
741,10,22,83,,,
742,11,23,85,,,
743,9,21,104,,,
744,9,21,126,,,
745,12,23,83,,,
746,11,24,120,,,
747,14,27,94,,,
748,9,22,104,,,
749,11,23,104,,,
750,11,26,89,,,
751,10,21,81,,,
752,10,23,658,,,
753,11,23,120,,,
754,11,23,83,,,
755,9,21,103,,,
756,9,21,125,,,
757,9,21,94,,,
758,10,22,82,,,
759,11,24,90,,,
760,13,25,88,,,
761,11,23,114,,,
762,11,23,84,,,
763,10,23,86,,,
764,9,21,82,,,
765,11,23,123,,,
766,9,20,113,,,
767,11,24,112,,,
768,18,244,349,,,
769,11,22,84,,,
770,10,22,84,,,
771,13,26,112,,,
772,11,22,81,,,
773,11,27,103,,,
774,10,22,85,,,
775,10,22,84,,,
776,10,22,83,,,
777,10,21,80,,,
778,12,24,110,,,
779,9,21,113,,,
780,11,24,109,,,
781,11,23,122,,,
782,11,23,83,,,
783,9,21,104,,,
784,10,22,84,,,
785,9,21,128,,,
786,10,23,86,,,
787,11,22,84,,,
788,11,23,85,,,
789,11,656,1104,,,
790,10,21,123,,,
791,10,22,82,,,
792,9,20,84,,,
793,11,22,83,,,
794,10,22,101,,,
795,11,23,84,,,
796,11,23,106,,,
797,10,22,105,,,
798,9,21,85,,,
799,11,23,85,,,
800,11,24,86,,,
801,12,24,112,,,
802,11,23,104,,,
803,10,22,84,,,
804,10,21,82,,,
805,11,24,84,,,
806,10,22,85,,,
807,9,21,121,,,
808,10,23,83,,,
809,10,334,438,,,
810,9,21,105,,,
811,12,24,110,,,
812,10,22,104,,,
813,11,1388,2620,,,
814,11,22,119,,,
815,11,23,85,,,
816,10,22,79,,,
817,11,23,108,,,
818,11,22,82,,,
819,10,21,84,,,
820,11,24,87,,,
821,9,20,105,,,
822,10,22,85,,,
823,12,26,116,,,
824,10,23,85,,,
825,11,23,83,,,
826,10,21,83,,,
827,10,22,84,,,
828,11,23,87,,,
829,11,23,109,,,
830,12,24,86,,,
831,11,24,118,,,
832,11,23,84,,,
833,10,22,109,,,
834,11,22,108,,,
835,11,22,81,,,
836,10,22,85,,,
837,11,23,121,,,
838,13,26,87,,,
839,10,22,83,,,
